report_id,report_name,business_area,source,views_last_12m,last_viewed,platform
RPT-065,Paying player cohorts by title,Player,Legacy EDW,0,,Legacy Portal
RPT-066,Paying player cohorts EMEA,Player,Legacy EDW,2,2024-12-14,Excel
RPT-067,Acquisition channel mix 2024,Player,Legacy EDW,0,,SSRS
RPT-068,Acquisition channel mix by title,Player,Legacy EDW,0,,Legacy Portal
RPT-069,Acquisition channel mix weekly,Player,Legacy EDW,19,2026-06-19,Legacy Portal
RPT-070,Acquisition channel mix old,Player,Legacy EDW,2,2024-03-24,SSRS
RPT-071,Acquisition channel mix FINAL,Player,Excel extract,140,2026-08-06,Excel
RPT-072,Acquisition channel mix detail,Player,Excel extract,14,2026-08-23,Legacy Portal
RPT-073,Country mix daily,Player,Legacy EDW,0,,Legacy Portal
RPT-074,Country mix by platform,Player,Legacy EDW,0,,Excel
RPT-075,Country mix FINAL,Player,Legacy EDW,26,2026-07-13,Excel
RPT-076,Country mix old,Player,Excel extract,0,,Excel
RPT-077,Country mix by title,Player,Legacy EDW,1,2025-08-28,SSRS
RPT-078,Country mix,Player,Legacy EDW,220,2026-06-19,SSRS
RPT-079,Refund reason breakdown FINAL,Support,Excel extract,11,2026-08-04,SSRS
RPT-080,Refund reason breakdown by platform,Support,Legacy EDW,1,2024-07-21,Excel
RPT-081,Refund reason breakdown by title,Support,Excel extract,1,2025-05-07,Excel
RPT-082,Refund reason breakdown EMEA,Support,Legacy EDW,14,2026-07-19,Excel
RPT-083,Refund reason breakdown (v2),Support,Legacy EDW,0,,SSRS
RPT-084,Refund reason breakdown archive,Support,Legacy EDW,140,2026-08-25,Excel
RPT-085,Chargeback watchlist APAC,Support,Excel extract,0,,Excel
RPT-086,Chargeback watchlist weekly,Support,Legacy EDW,1,2025-08-30,Excel
RPT-087,Chargeback watchlist detail,Support,Legacy EDW,1,2025-05-19,SSRS
RPT-088,Chargeback watchlist archive,Support,Legacy EDW,0,,Legacy Portal
RPT-089,Chargeback watchlist,Support,Legacy EDW,0,,SSRS
RPT-090,Chargeback watchlist - copy,Support,Legacy EDW,220,2026-08-31,Excel
RPT-091,Campaign attribution daily,Marketing,Legacy EDW,0,,Legacy Portal
RPT-092,Campaign attribution archive,Marketing,Legacy EDW,34,2026-07-04,SSRS
RPT-093,Campaign attribution EMEA,Marketing,Excel extract,0,,Excel
RPT-094,Campaign attribution FINAL,Marketing,Excel extract,0,,Excel
RPT-095,Campaign attribution old,Marketing,Legacy EDW,63,2026-07-29,Excel
RPT-096,Campaign attribution 2024,Marketing,Legacy EDW,14,2026-06-20,Legacy Portal
RPT-097,Wishlist funnel weekly,Marketing,Legacy EDW,0,,SSRS
RPT-098,Wishlist funnel by platform,Marketing,Legacy EDW,1,2025-04-11,SSRS
RPT-099,Wishlist funnel daily,Marketing,Legacy EDW,0,,Legacy Portal
RPT-100,Wishlist funnel - copy,Marketing,Excel extract,0,,Excel
RPT-101,Wishlist funnel 2024,Marketing,Excel extract,140,2026-08-18,Legacy Portal
RPT-102,Wishlist funnel old,Marketing,Legacy EDW,0,,SSRS
RPT-103,Monthly business review pack APAC,Exec,Legacy EDW,5,2026-06-21,Legacy Portal
RPT-104,Monthly business review pack EMEA,Exec,Legacy EDW,2,2024-11-27,Excel
RPT-105,Monthly business review pack (v2),Exec,Legacy EDW,0,,Excel
RPT-106,Monthly business review pack by title,Exec,Legacy EDW,0,,SSRS
RPT-107,Monthly business review pack,Exec,Legacy EDW,0,,Excel
RPT-108,Monthly business review pack by platform,Exec,Excel extract,0,,Legacy Portal
RPT-109,Board summary old,Exec,Excel extract,220,2026-07-13,Legacy Portal
RPT-110,Board summary detail,Exec,Legacy EDW,1,2025-10-01,SSRS
RPT-111,Board summary - copy,Exec,Legacy EDW,0,,SSRS
RPT-112,Board summary weekly,Exec,Excel extract,19,2026-07-07,Legacy Portal
RPT-113,Board summary FINAL,Exec,Excel extract,0,,Legacy Portal
RPT-114,Board summary APAC,Exec,Excel extract,2,2024-03-14,Excel
RPT-115,Weekly flash 2024,Exec,Legacy EDW,0,,SSRS
RPT-116,Weekly flash weekly,Exec,Legacy EDW,0,,Legacy Portal
RPT-117,Weekly flash FINAL,Exec,Excel extract,19,2026-07-21,Legacy Portal
RPT-118,Weekly flash detail,Exec,Legacy EDW,2,2025-04-02,Excel
RPT-119,Weekly flash old,Exec,Legacy EDW,2,2025-10-21,Legacy Portal
RPT-120,Weekly flash (v2),Exec,Legacy EDW,88,2026-08-31,SSRS
